,bathrooms,square_feet,price
624,2.0,1722.0,50.0
626,1.5,753.0,208.0
628,1.0,0.0,45.0
631,1.0,0.0,35.0
633,1.0,915.0,44.0
634,1.5,753.0,45.0
635,1.0,0.0,50.0
640,2.0,1292.0,125.0
642,1.0,592.0,55.0
643,1.0,323.0,34.0
645,1.0,4639.0,35.0
651,1.0,710.0,80.0
654,1.0,452.0,38.0
655,1.0,721.0,73.0
659,1.0,1033.0,160.0
661,1.0,753.0,85.0
664,2.0,161.0,35.0
672,2.0,1130.0,68.0
680,1.0,0.0,60.0
681,1.0,0.0,45.0
682,1.0,194.0,35.0
684,1.0,0.0,100.0
685,1.0,301.0,65.0
687,1.0,0.0,52.0
700,1.0,0.0,49.0
701,1.0,0.0,63.0
706,1.0,700.0,52.0
707,1.0,538.0,80.0
708,1.0,366.0,55.0
712,1.0,215.0,29.0
719,1.0,1033.0,69.0
726,1.5,0.0,68.0
727,1.0,215.0,35.0
728,1.0,312.0,44.0
731,1.0,829.0,50.0
733,1.0,700.0,190.0
738,1.0,0.0,29.0
739,1.0,431.0,54.0
742,1.0,700.0,85.0
746,2.0,2368.0,455.0
749,2.0,2260.0,70.0
752,1.0,818.0,60.0
757,1.0,592.0,79.0
762,1.0,603.0,79.0
765,1.0,0.0,47.0
772,1.0,484.0,40.0
781,2.0,323.0,45.0
782,1.0,0.0,30.0
784,1.0,431.0,88.0
789,1.0,0.0,35.0
791,1.0,807.0,139.0
792,1.0,431.0,79.0
797,1.0,689.0,45.0
798,1.0,0.0,75.0
801,1.0,667.0,50.0
805,1.0,377.0,31.0
813,1.0,646.0,100.0
819,1.0,646.0,100.0
824,1.0,0.0,65.0
825,1.0,118.0,37.0
826,1.0,0.0,146.0
832,1.0,732.0,75.0
840,1.0,1076.0,44.0
841,1.0,409.0,48.0
849,1.0,484.0,100.0
850,1.0,861.0,85.0
851,1.0,775.0,57.0
852,1.0,129.0,33.0
855,1.0,377.0,72.0
856,1.0,0.0,38.0
858,1.0,1055.0,130.0
860,1.0,0.0,40.0
862,1.0,15.0,25.0
868,1.0,0.0,75.0
